web_scraper_order,web_scraper_start_url,pagination,data,price,phone,data2,data3,title,data4,data5,description,data6,data7,data8,title2,data9,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11
"1786717372-11","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2004 Peugeot 406","CFA 2 000 000","2 000 000","18 000 km","Publié il y a plus de 7 ans","Kilométrage18 000 km","6","Vendu","Wanter Peugeot 406 Diesel Manuel Papiers complet. Prix last: 2 millions Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/16407/medium_with_watermark_IMG-20190313-WA0036.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-12","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2002 Peugeot 406","CFA 2 200 000","2 200 000","140 000 km","Publié il y a presque 7 ans","Kilométrage140 000 km","7","Vendu","A bazarder 406 à vendr manuelle diesel mauteur 405 climatisé a un bon prix 2.200.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/32090/medium_with_watermark_IMG-20190824-WA0021.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-13","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2002 Renault 19","CFA 2 100 000","2 100 000","160 000 km","Publié il y a environ 7 ans","Kilométrage160 000 km","5","Vendu","A bazarder R19 tres propre/Diesel Manuel. Prix last: 2.100.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/27676/medium_with_watermark_IMG-20190712-WA0095.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","","","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-14","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2006 Renault Megane","CFA 1 700 000","1 700 000","180 000 km","Publié il y a plus de 7 ans","Kilométrage180 000 km","4","Vendu","Megane Z Annee: 2006 / Diesel Manuel/ Prix: 1.700.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/15015/medium_with_watermark_IMG-20190207-WA0106.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","","","","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-15","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2009 Dacia Logan","CFA 2 200 000","2 200 000","160 000 km","Publié il y a environ 7 ans","Kilométrage160 000 km","9","Vendu","Wanter Dacia Logan 7 places mentionnées 5 places sur la carte a grise/ Moteur R19 en excellent etat/ Annee: 2009/ Diesel Manuel. Prix: 2.200.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/24118/medium_with_watermark_IMG-20190604-WA0102.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-16","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2009 Peugeot 308","CFA 2 300 000","2 300 000","311 368 km","Publié il y a plus de 7 ans","Kilométrage311 368 km","10","Vendu","A bazarder peugeot 308 tout intact /Diesel Manuel/ Annee: 2009/ 311368 km. Prix last: 2.300.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/20321/medium_with_watermark_IMG-20190412-WA0161.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-17","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2006 Ford Escape","CFA 4 500 000","4 500 000","120 000 km","Publié il y a presque 7 ans","Kilométrage120 000 km","7","Vendu","A bazarder Ford Escape Limited climatisé/ Essence automatique/ Annee: 2011. Prix: 4.500.000f Contact Appel ou Whatsapp: 764823888 ou 782718278","N/A","Automatique","Dakar","Prix","(Essence)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/33583/medium_with_watermark_IMG-20190908-WA0039.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-18","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2008 Citroen C4","CFA 2 100 000","2 100 000","160 000 km","Publié il y a environ 7 ans","Kilométrage160 000 km","9","Vendu","A Bazarder Citroen C4 en excellent etat/ Essence Manuel. Prix: 2.100.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Essence)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/23626/medium_with_watermark_IMG-20190514-WA0013.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-19","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2008 Citroen Berlingo","CFA 3 300 000","3 300 000","214 000 km","Publié il y a environ 7 ans","Kilométrage214 000 km","10","Vendu","A bazarder Citroen Berlingo 5places en tres bon etat/ Annee: 2008/Diesel Manuel/ 214409 km. Prix: 3.300.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/25255/medium_with_watermark_IMG-20190612-WA0030.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717372-20","https://www.gaaraas.com/fr/users/dakar-auto?page=1","","2006 Mitsubishi L200","CFA 7 500 000","7 500 000","160 000 km","Publié il y a environ 7 ans","Kilométrage160 000 km","6","Vendu","A bazarder Mitsubishi L200/ Diesel Manuel/ 2006. Prix: 7.500.000f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/25265/medium_with_watermark_IMG-20190607-WA0042.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
"1786717384-21","https://www.gaaraas.com/fr/users/dakar-auto?page=1","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2008 Dacia Logan","CFA 2 600 000","2 600 000","137 000 km","Publié il y a plus de 7 ans","Kilométrage137 000 km","4","Vendu","Dacia 2008,muté taxi en 2016 aucun probleme tout est nikel,moteur ordinaire,diesel. Prix last: 2.600.000 f Contact: 782718278 ou 764823888","N/A","Manuelle","Dakar","Prix","(Diesel)","https://gaaraas.s3.amazonaws.com/uploads/picture/url/12729/medium_with_watermark_IMG-20190119-WA0137.jpg","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","data:image/gif;base64,R0lGODlhAQABAAAAACwAAAAAAQABAAA=","","","","","","https://gaaraas.com/assets/design/icons/engine-xs-40c8ae5e5247b08fa64071a29989cfcda52f437c48a4042ce7363e907fcceb40.svg","https://gaaraas.com/assets/design/icons/transmission-xs-7c13fb8d43ee234f637f71d3910fc74ae8e558713ccb9fbdde19645bfb376907.svg"
